rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5RwV8BvLfX5injfqYodke9","Rauw Alejandro","Todo De Ti","Sony Music Latin/Duars Entertainment",1,1,8,"7454693"
2,"spotify:track:2JPLbjOn0wPCngEot2STUS","Bad Bunny","Yonaguni","Rimas Entertainment LLC",2,2,6,"6995836"
3,"spotify:track:6hf0RpxTbOprT5nnwzkk8e","J Balvin, Maria Becerra","Qué Más Pues?","Sueños Globales, LLC",3,4,7,"5170503"
4,"spotify:track:05bfbizlM5AX6Mf1RRyMho","Nio Garcia, J Balvin, Bad Bunny","AM Remix","Flow La Movie",3,3,3,"4924335"
5,"spotify:track:2MnLkFqY9Rpg9s3Zv6ZJdK","Gera MX, Christian Nodal","Botella Tras Botella","Virgin Music México",1,5,12,"4485525"
6,"spotify:track:2rCbl9naJYhaxjLsfx88uM","Sebastian Yatra, Myke Towers","Pareja Del Año","UMLE - Latino",4,6,13,"3751275"
7,"spotify:track:0G2zPzWqVjR68iNPmx2TBe","Mora, Bad Bunny, Sech","Volando - Remix","Rimas Entertainment LLC",7,-1,1,"3140776"
8,"spotify:track:4MzXwWMhyBbmu6hOcLVD49","Bad Bunny, Jhay Cortez","DÁKITI","Rimas Entertainment LLC",1,7,37,"2887324"
9,"spotify:track:3Wrjm47oTz2sjIgck11l5e","Måneskin","Beggin'","RCA Records Label",8,8,4,"2767529"
10,"spotify:track:0PwFN7vRvY80Hnkoew2x3f","Rauw Alejandro, Mr. Naisgai","2/Catorce","Sony Music Latin/Duars Entertainment",6,10,11,"2462595"
11,"spotify:track:7Bk0uXKk1uPT0XuQbpFzvs","Los Legendarios, Wisin, Jhay Cortez","Fiel","La Base Music Group/ WK Records",1,11,22,"2461132"
12,"spotify:track:0LThjFY2iTtNdd4wviwVV2","BTS","Permission to Dance","BIGHIT MUSIC",12,-1,1,"2439372"
13,"spotify:track:4OwhwvKESFtuu06dTgct7i","Marc Seguí, Rauw Alejandro, Pol Granch","Tiroteo - Remix","WEA Latina",13,37,3,"2300950"
14,"spotify:track:1WedZeiezCmCEOzLwhx0hV","J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander","Poblado - Remix","Universal Music Latino",13,13,4,"2294284"
15,"spotify:track:267NGliXM8YLVZiKAD9Otm","Bad Bunny","De Museo","Rimas Entertainment LLC",15,53,2,"2237714"
16,"spotify:track:43qcs9NpJhDxtG91zxFkj7","Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers","Fiel - Remix","La Base Music Group/ WK Records",10,12,4,"2231663"
17,"spotify:track:4DdnffqoFr9wDRlCACNmGf","Natanael Cano, Oscar Maydon","Porte Exuberante","WEA Latina",12,14,7,"2187767"
18,"spotify:track:2bgTY4UwhfBYhGT4HUYStN","BTS","Butter","BIGHIT MUSIC",6,32,8,"2155364"
19,"spotify:track:2FSGUA0gFgGeQdprjtGM2M","KAROL G, Mariah Angeliq","EL MAKINON","UMLE - Latino",7,15,16,"2129309"
20,"spotify:track:03LfOYi0icz4souspZVVhq","Bizarrap, Nicky Jam","Nicky Jam: Bzrp Music Sessions, Vol. 41","DALE PLAY Records",9,9,2,"2007485"
21,"spotify:track:3HgvO4B5LLmdPOT2d8cSZd","LAGOS, Danny Ocean","Mónaco","WM Mexico",21,28,3,"1995380"
22,"spotify:track:4H3t8C59tXjKf1R2iKtc5M","Marca MP","Ya Acabo","Marca MP",17,17,16,"1885345"
23,"spotify:track:1yoMvmasuxZfqHEipJhRbp","Maluma","Hawái","Sony Music Latin",1,22,50,"1817773"
24,"spotify:track:6tDDoYIxWvMLTdKpjFkc1B","Kali Uchis","telepatía","EMI / Interscope",1,18,22,"1814082"
25,"spotify:track:5jzEwSyyymBlf1fa1o39T2","Mora, Jhay Cortez","512","Rimas Entertainment LLC",18,25,11,"1805751"
26,"spotify:track:1xK1Gg9SxG8fy2Ya373oqb","Myke Towers, Juhn","Bandido","White World Music",3,19,30,"1779102"
27,"spotify:track:4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo","good 4 u","Olivia Rodrigo PS",14,16,9,"1760057"
28,"spotify:track:2XIc1pqjXV3Cr2BQUGNBck","Bad Bunny, ROSALÍA","LA NOCHE DE ANOCHE","Rimas Entertainment LLC",3,23,33,"1749110"
29,"spotify:track:3DarAbFujv6eYNliUTyqtz","Doja Cat, SZA","Kiss Me More (feat. SZA)","Kemosabe Records/RCA Records",19,21,13,"1720473"
30,"spotify:track:2dNhNlpZAtV4lwAFW45LIv","Nio Garcia, Flow La Movie","AM","Flow La Movie, Inc.",3,20,16,"1712767"
31,"spotify:track:2f0Ft2XdvNSMSY5TUlZgEz","Pablo Alborán","Saturno","WM Spain",24,24,34,"1689895"
32,"spotify:track:4DHDIdeayp8xvlyg22wREO","Natti Natasha, Becky G","Ram Pam Pam","Sony Music Latin",26,26,10,"1672880"
33,"spotify:track:7E9GeFGfjXw9LAI4ay6rsw","Grupo Firme, Carin Leon","El Tóxico","Music VIP Entertainment Inc",17,30,37,"1587557"
34,"spotify:track:1WvrDdouh6C51In1SdATbq","KAROL G","BICHOTA","UMLE - Latino",2,31,38,"1563661"
35,"spotify:track:4HzqWEdAbzcVFDv0pvxV4w","Maluma","Sobrio","Sony Music Latin",35,-1,1,"1514085"
36,"spotify:track:5u7twkeask1VIyDeNTElSU","Sech","Sal y Perrea","Rich Music",27,36,10,"1512468"
37,"spotify:track:37BZB0z9T8Xu7U3e65qxFy","The Weeknd, Ariana Grande","Save Your Tears (with Ariana Grande) (Remix)","Republic Records",19,27,12,"1512204"
38,"spotify:track:63aj87TQG6F3RVO5nbG2VQ","J Balvin, Skrillex","In Da Getto","Sueños Globales, LLC",38,50,2,"1496959"
39,"spotify:track:6mm3K0yWp6uzfOMuipM9Zh","Piso 21","Tan Bonita","WM Mexico",31,35,15,"1487515"
40,"spotify:track:2p2Q23iaaPSEa1tI6TsCVX","Sech","911","Rich Music",8,34,22,"1468298"
41,"spotify:track:16ONd70tvWAaLIc6hcLzaG","Christian Nodal","Aquí Abajo","Universal Music Mexico",6,40,53,"1458036"
42,"spotify:track:1s59X35jDULAyOGmBuTAnd","Lenin Ramírez, Grupo Firme","Yo Ya No Vuelvo Contigo - En Vivo","DEL Records",27,42,84,"1445714"
43,"spotify:track:5nujrmhLynf4yMoMtj8AQF","Dua Lipa, DaBaby","Levitating (feat. DaBaby)","Warner Records",16,33,29,"1424700"
44,"spotify:track:7D93pJcwymzaZx8WgBo2zG","Rauw Alejandro","Algo Mágico","Sony Music Latin/Duars Entertainment",11,38,24,"1392821"
45,"spotify:track:67BtfxlNbhBmCDR2L2l8qd","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",15,29,16,"1392663"
46,"spotify:track:4nbWX2HzrOEnX4xxvYRCyU","El Fantasma, Los Dos Carnales","Cabrón y Vago - En Vivo","Afinarte Music",17,39,49,"1374504"
47,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,47,85,"1342633"
48,"spotify:track:5RubKOuDoPn5Kj5TLVxSxY","Bad Bunny","TE MUDASTE","Rimas Entertainment LLC",4,48,33,"1321508"
49,"spotify:track:55mzJ0LftLnef8sxAjrMkU","Santa Fe Klan, Neto Peña, Yoss Bones","Debo Entender","Rap Trap Records / Alzada Corp",49,60,8,"1302929"
50,"spotify:track:079Ey5uxL04AKPQgVQwx5h","Selena Gomez, Rauw Alejandro","Baila Conmigo (with Rauw Alejandro)","Selena Gomez Latin Project",7,43,24,"1302705"
51,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",1,49,107,"1270686"
52,"spotify:track:7MAibcTli4IisCtbHKrGMh","Bruno Mars, Anderson .Paak, Silk Sonic","Leave The Door Open","Aftermath Entertainment/Atlantic",19,44,19,"1226763"
53,"spotify:track:3XjRIN9vEt35lm1iStPcgq","Santa Fe Klan, Big Soto, Neto Peña","Todo Va a Estar Bien","473 Music",53,105,2,"1224583"
54,"spotify:track:4iJyoBOLtHqaGxP12qzhQI","Justin Bieber, Daniel Caesar, Giveon","Peaches (feat. Daniel Caesar & Giveon)","RBMG/Def Jam",7,46,17,"1220209"
55,"spotify:track:0vtYnEw1eJwW26BrBnOAYJ","Banda MS de Sergio Lizárraga","La Casita","Lizos Music",36,54,26,"1201947"
56,"spotify:track:06IceO7e9isF3nX3y7dOTe","Lupillo Rivera, Aleman, Santa Fe Klan, Snoop Dogg, B-Real","Grandes Ligas","Prajin Parlay / Z Records",20,59,9,"1199409"
57,"spotify:track:4r9jkMEnArtWGH2rL2FZl0","Bad Bunny","A Tu Merced","Rimas Entertainment LLC",18,41,72,"1193885"
58,"spotify:track:4loQgPwJHocL3dFwLfjb1J","Rauw Alejandro, Anuel AA","Reloj","Sony Music Latin/Duars Entertainment",5,45,38,"1192675"
59,"spotify:track:0akyEssGRVHstqCSWXusJL","Ed Maverick","Fuentes de Ortiz","Universal Music Mexico",21,61,131,"1187900"
60,"spotify:track:0tKl8ZVM6xJkhznvJAS3Nq","Junior H","Ella","Rancho Humilde",43,51,78,"1185840"
61,"spotify:track:6UU24wuWgGwuSBAxDH866Z","Kidd Keo, Yay","Ma Vie (feat. Yay)","WEA Latina",53,55,12,"1184087"
62,"spotify:track:4cV6ld7uIs906zOwNscoBM","Los Plebes del Rancho de Ariel Camacho, Christian Nodal","2 Veces","Universal Music Mexico",39,52,19,"1146363"
63,"spotify:track:26xQbFpVg8JCT5NKQFJXg8","Fuerza Regida, Calle 24","Que Esta Pasando","Rancho Humilde - Lumbre Music - Streetmob Records",40,58,11,"1134090"
64,"spotify:track:0cOa970mzTWAxKtltpkpLc","TINI, Maria Becerra","Miénteme","Sony Music Latin",64,91,6,"1134001"
65,"spotify:track:6PQ88X9TkUIAUIZJHW2upE","Ed Sheeran","Bad Habits","Atlantic Records UK",56,56,3,"1113678"
66,"spotify:track:6VOb0Kkrd45Bp5RHYSla2J","Reik, Maluma","Perfecta","Sony Music México",49,63,7,"1098515"
67,"spotify:track:6ifUES3keWjwXgae8pXI3o","Danny Ocean","Me Rehúso","Atlantic Records",1,62,233,"1093239"
68,"spotify:track:2XlGKZNMkRKvEJsbwQ6MCl","Grupo Firme, Grupo Codiciado","Gracias - En Vivo","Music VIP Entertainment Inc",55,73,15,"1076691"
69,"spotify:track:3lR4O0vtkhCAvVEUEWUL0S","Piso 21, Christian Nodal","Pa' Olvidarme De Ella","WM Mexico",6,64,97,"1060919"
70,"spotify:track:6HU7h9RYOaPRFeh0R3UeAr","Olivia Rodrigo","deja vu","Olivia Rodrigo PS",25,57,14,"1060788"
71,"spotify:track:0ldT3gl7aGNzrJyd4b1CA4","Grupo Firme, Lenin Ramírez","En Tu Perra Vida","Music VIP Entertainment Inc",66,66,7,"1052080"
72,"spotify:track:1uKjQoh8JZj9ryuYRhpd7E","Luis Miguel","Ahora Te Puedes Marchar","WM Mexico",21,65,238,"1049131"
73,"spotify:track:1qfoq1qvZT7VwDVeekCJ97","Christian Nodal","De Los Besos Que Te Di","Universal Music Mexico",17,68,118,"1031158"
74,"spotify:track:3elpkpwYlmUbuvmVps08lJ","Santa Fe Klan, Nanpa Básico","Te Ire A Buscar","Rap Trap Records / Alzada Corp",74,102,16,"1007007"
75,"spotify:track:2HWXhViZhTPJa10NgyrRRS","Danna Paola","MÍA","Universal Music Mexico",59,67,4,"977107"
76,"spotify:track:798ahLNEcoFER7Vywg1FMT","Calibre 50","A La Antigüita","Andaluz Music, LLC",76,77,9,"975322"
77,"spotify:track:4saklk6nie3yiGePpBwUoc","BTS","Dynamite","BIGHIT MUSIC",21,115,47,"974908"
78,"spotify:track:4R8BJggjosTswLxtkw8V7P","Jhay Cortez, J Balvin, Bad Bunny","No Me Conoce - Remix","N&E Entertainment LLC",3,70,113,"973488"
79,"spotify:track:6sRaqq9SYsSTPvrWkL1sRy","Mi Banda El Mexicano","Ramito De Violetas","Craft Recordings",40,98,74,"970008"
80,"spotify:track:0EhpEsp4L0oRGM0vmeaN5e","J Balvin, Dua Lipa, Bad Bunny, Tainy","UN DIA (ONE DAY) (Feat. Tainy)","Universal Music Latino/ NEON16",4,69,51,"964173"
81,"spotify:track:6vPAmoERUMRoTZaCCSWQ12","Luis Miguel","Hasta Que Me Olvides","WEA Latina",11,71,83,"961629"
82,"spotify:track:0JDrG1g5HXbfgGtRKT0ofH","Natanael Cano","Diamantes","WEA Latina",82,93,6,"953908"
83,"spotify:track:1nLs8r6K4YN0avBwUmmTnr","Carin Leon","Tú","Tamarindo Rekordsz",14,80,59,"947600"
84,"spotify:track:5wANPM4fQCJwkGd4rN57mH","Olivia Rodrigo","drivers license","Olivia Rodrigo PS",8,72,27,"938322"
85,"spotify:track:4jcxBTrNvyqMJdMDyyjdYV","Christian Nodal, Ángela Aguilar","Dime Cómo Quieres","Universal Music Mexico",4,85,35,"930520"
86,"spotify:track:2TH65lNHgvLxCKXM3apjxI","Bad Bunny, Tainy","Callaita","Rimas Entertainment LLC",1,83,111,"924014"
87,"spotify:track:2n7ohqg1s68ToAHh4u9mcW","Bad Bunny","Vete","Rimas Entertainment LLC",1,75,86,"922145"
88,"spotify:track:6Et5KimMg3IXwD6lJPGmQw","Alex Rose, Rauw Alejandro","Me Fije","WK Records",88,99,5,"914037"
89,"spotify:track:6f3Slt0GbA2bPZlz0aIFXN","Tiësto","The Business","Atlantic Records",39,74,22,"913694"
90,"spotify:track:4CLkDJ4xLqkV4Vt2vPOny1","El Fantasma","Palabra de Hombre","Afinarte Music",49,87,71,"909706"
91,"spotify:track:6VuUMo1TusnqBxLTnr3hOI","León Larregui","Brillas","EMI México",43,103,238,"903439"
92,"spotify:track:5aJ1M43pinROpwaPnO8KRj","Natanael Cano","Amor Tumbado","Rancho Humilde",30,95,78,"901878"
93,"spotify:track:41wtwzCZkXwpnakmwJ239F","Bad Bunny","Si Veo a Tu Mamá","Rimas Entertainment LLC",1,76,72,"899117"
94,"spotify:track:4HYDUMY0xSpeBr0AMY9cUz","Jay Wheeler, DJ Nelson, Myke Towers","La Curiosidad","Linked Music / Dynamic Records / EMPIRE",6,96,55,"896512"
95,"spotify:track:5YYW3yRktprLRr47WK219Y","Rochy RD, Myke Towers, Nicki Nicole","Ella No Es Tuya - Remix","Sony Music Latin",10,78,21,"896128"
96,"spotify:track:2TzkIzgzIHhewMxyh1u4hh","Kevin Kaarl","Vámonos a Marte","Kevin Kaarl",96,100,32,"894439"
97,"spotify:track:3PfIrDoz19wz7qK7tYeu62","Dua Lipa","Don't Start Now","Warner Records",8,86,89,"893401"
98,"spotify:track:5y7DaS3jAc9eZzcSOoUIwU","Ozuna, J Balvin, Chencho Corleone","Una Locura","Aura Music Corp.",18,89,45,"888280"
99,"spotify:track:35nO174gX5eCh9mPWvUe3s","Morat, Danna Paola","Idiota","Universal Music Spain S.L.",51,84,6,"885480"
100,"spotify:track:35wvL50xvKpCHEJPxLOLPI","Bad Bunny","Si Estuviésemos Juntos","Rimas Entertainment LLC",52,90,113,"884238"
101,"spotify:track:5QO79kh1waicV47BqGRL3g","The Weeknd","Save Your Tears","Republic Records",5,82,29,"877415"
102,"spotify:track:69vlMrzHwATKzupwNcUPyK","Bad Bunny, Daddy Yankee","La Santa","Rimas Entertainment LLC",5,88,72,"875986"
103,"spotify:track:27RSJHEA99Y0Vsow7nA37A","Sech, Jhay Cortez","911 - Remix","Rich Music",103,-1,1,"869327"
104,"spotify:track:3WQilym5Vi4ypxb70vx0eY","Junior H","Mente Positiva","Rancho Humilde / Z Records",84,101,62,"867572"
105,"spotify:track:2QwMXe5zbqymDZGYsMDVqZ","Carin Leon","Me La Avente","Tamarindo Rekordsz",27,106,110,"860301"
106,"spotify:track:6WYB1odDfMPVMyp1QxFInT","Eslabon Armado","Con Tus Besos","Eslabon Armado",47,81,65,"851734"
107,"spotify:track:47gSYfwFBbV1BXHfXEq1qs","Crissin, Totoy El Frio, Natan & Shander","Poblado","Kapital Music & Entertainment",10,79,11,"850628"
108,"spotify:track:7paFC3FEu1WtPVP4Do6VZN","Christian Nodal","Se Me Olvidó","Universal Music Mexico",3,107,71,"839016"
109,"spotify:track:4pt5fDVTg5GhEvEtlz9dKk","Måneskin","I WANNA BE YOUR SLAVE","RCA Records Label",97,97,3,"838249"
110,"spotify:track:00szcRmgqJGtqrfIUYkM1h","Piso 21, Maluma","Más De La Una","WM Mexico",18,92,32,"827449"
111,"spotify:track:6F9yAYUaNbUhdlQyt5uZ3b","Luis Miguel","La Incondicional","WEA Latina",26,104,171,"821927"
112,"spotify:track:2MeEuwplwbbjZ7hxRI6viw","Grupo Firme, Marca MP","El Güero (Feat. Marca MP)","Music VIP Entertainment Inc",47,109,82,"809651"
113,"spotify:track:5u6lAvdS8mmHHTHQlC3TtN","Justin Morales","Desde Morro","Rancho Humilde",100,117,25,"808737"
114,"spotify:track:21N4Buj4xsyLb218lYle61","Sebastian Yatra, Guaynaa","Chica Ideal","UMLE - Latino",12,114,38,"806730"
115,"spotify:track:53PoPAD389bBE4ePYuT95g","Los Dos Carnales","El Envidioso","Afinarte Music",52,108,57,"806475"
116,"spotify:track:7hbk4BaF66O09R1gq0bKwj","Christian Nodal","No Te Contaron Mal","Universal Music Mexico",9,113,149,"804585"
117,"spotify:track:63Zaf8Rci6eOUPqDQ4fUFx","Camilo, Christian Nodal","La Mitad","Sony Music Latin",17,116,65,"803783"
118,"spotify:track:6w8yBI2vthyN9UnwO4UBWb","Tiago PZK, LIT killah","Entre Nosotros","WM Chile",118,-1,1,"800852"
119,"spotify:track:35UUpTmrcFXNIVIN26ujXl","Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko","Relación - Remix","Rich Music",2,118,45,"796536"
120,"spotify:track:46DU5gYWY2vjE79mbhX4Wv","Junior H, Natanael Cano","Disfruto Lo Malo","Jimmy Humilde Music",101,124,40,"792402"
121,"spotify:track:7BoobGhD4x5K96Me0hqC8Q","Bella Poarch","Build a Bitch","Warner Records",66,94,9,"788828"
