,danceability,energy,duration_ms,loudness,speechiness,instrumentalness,liveness,valence,tempo,acousticness
312,0.442,0.612,215507,-7.222,0.112,5.7e-06,0.37,0.178,180.917,0.584
313,0.433,0.431,199320,-6.422,0.0367,0.0,0.307,0.722,177.732,0.169
314,0.846,0.548,209680,-6.397,0.256,0.0713,0.0419,0.516,94.925,0.241
315,0.624,0.427,280093,-7.109,0.0388,0.0,0.967,0.936,137.091,0.285
316,0.747,0.78,185493,-5.302,0.216,0.0,0.164,0.538,82.524,0.0583
317,0.714,0.735,222227,-7.125,0.0306,0.000622,0.115,0.68,123.57,0.176
318,0.767,0.701,194267,-5.928,0.0269,0.0295,0.166,0.888,115.017,0.62
319,0.85,0.541,165275,-4.522,0.0674,5.01e-06,0.286,0.916,92.003,0.161
320,0.603,0.843,194867,-7.597,0.0557,0.0337,0.445,0.503,172.676,0.0031
321,0.678,0.457,238420,-6.854,0.177,0.0,0.113,0.563,72.156,0.741
322,0.799,0.701,201920,-3.272,0.282,7.36e-05,0.0514,0.607,100.946,0.309
323,0.678,0.821,221347,-6.017,0.0672,4.79e-05,0.147,0.96,170.164,0.228
324,0.813,0.549,162229,-3.691,0.0991,0.000708,0.0987,0.646,169.947,0.124
325,0.651,0.726,156267,-4.144,0.0539,0.0,0.0535,0.963,179.99,0.382
326,0.771,0.765,263013,-3.887,0.0508,0.0,0.313,0.66,115.984,0.0487
327,0.774,0.91,205360,-3.371,0.0569,0.000168,0.0908,0.65,113.306,0.0803
328,0.584,0.411,217769,-7.147,0.0838,4.47e-05,0.0955,0.412,169.934,0.869
329,0.759,0.459,164442,-5.187,0.0948,0.0,0.0906,0.695,109.997,0.00323
330,0.74,0.417,195453,-5.713,0.038,8.43e-06,0.225,0.607,125.832,0.192
331,0.725,0.86,230125,-3.726,0.182,0.000284,0.0674,0.791,175.896,0.422
332,0.862,0.72,197284,-4.155,0.0361,0.0,0.0543,0.967,129.993,0.476
333,0.936,0.825,233301,-4.928,0.189,0.0017,0.0703,0.843,123.991,0.00612
334,0.566,0.709,162475,-2.86,0.0455,0.0,0.14,0.775,104.971,0.579
335,0.573,0.424,258356,-5.192,0.0388,0.0,0.104,0.749,135.154,0.433
336,0.768,0.56,205714,-3.497,0.0859,0.000791,0.115,0.372,112.084,0.709
337,0.675,0.16,179094,-11.667,0.0586,0.00688,0.164,0.247,69.754,0.985
338,0.721,0.637,222680,-5.134,0.286,0.0,0.0525,0.691,193.922,0.0406
339,0.576,0.604,192391,-7.558,0.047,0.0,0.176,0.734,99.746,0.27
340,0.807,0.606,227520,-8.871,0.088,0.0,0.119,0.304,92.988,0.0946
341,0.765,0.339,202560,-8.965,0.0365,0.0,0.131,0.864,123.95,0.278
342,0.54,0.455,212032,-5.988,0.224,1.08e-05,0.12,0.432,83.876,0.675
343,0.535,0.714,221554,-5.753,0.0329,2.91e-06,0.0806,0.458,100.059,0.332
344,0.839,0.711,349547,-4.733,0.0473,2.02e-06,0.118,0.573,97.99,0.398
345,0.659,0.688,273474,-4.649,0.0673,0.0,0.113,0.632,153.979,0.207
346,0.607,0.829,295177,-4.074,0.379,0.0,0.107,0.685,96.172,0.0103
347,0.746,0.765,199054,-4.41,0.0993,0.0,0.0936,0.737,114.044,0.0112
348,0.642,0.442,231773,-9.115,0.074,1.58e-06,0.102,0.465,148.01,0.491
349,0.813,0.875,240000,-3.768,0.188,0.0,0.0292,0.74,90.049,0.29
350,0.762,0.77,201181,-2.758,0.223,0.0,0.15,0.631,177.998,0.138
351,0.719,0.577,191995,-5.326,0.0909,0.0,0.0972,0.861,78.77,0.416
352,0.843,0.836,205933,-2.474,0.0695,0.00138,0.0532,0.65,94.018,0.0816
353,0.964,0.486,220659,-8.891,0.188,0.04,0.0694,0.318,124.058,0.0194
354,0.813,0.809,393280,-5.382,0.0846,1.37e-06,0.377,0.646,93.005,0.102
355,0.548,0.816,174000,-4.209,0.0465,0.0,0.335,0.557,95.39,0.122
356,0.699,0.654,192313,-6.264,0.0383,7.08e-06,0.095,0.319,100.037,0.054
357,0.886,0.672,192024,-4.394,0.188,8.78e-06,0.101,0.526,91.976,0.0363
358,0.681,0.664,226821,-8.019,0.0353,0.0,0.0418,0.861,102.166,0.335
359,0.672,0.594,169248,-6.813,0.0789,5.14e-05,0.152,0.158,171.854,0.0626
360,0.9,0.603,170972,-5.313,0.0646,4.81e-06,0.134,0.824,129.928,0.402
361,0.744,0.868,206420,-4.524,0.047,0.0,0.0822,0.586,93.037,0.0326
362,0.278,0.572,253760,-8.295,0.0407,0.0,0.063,0.311,95.351,0.392
363,0.724,0.443,177791,-3.743,0.0329,0.0,0.101,0.763,97.194,0.73
364,0.625,0.554,213254,-5.531,0.0618,0.0,0.305,0.846,111.911,0.417
365,0.764,0.585,255640,-7.796,0.0305,0.00294,0.369,0.89,90.013,0.348
366,0.61,0.624,250534,-4.773,0.309,2.12e-06,0.243,0.244,176.169,0.6
367,0.644,0.568,156520,-3.077,0.038,0.0,0.151,0.654,81.409,0.369
368,0.75,0.522,321556,-7.018,0.0293,0.0,0.0743,0.601,110.427,0.282
369,0.374,0.727,257027,-4.352,0.0309,0.0,0.134,0.283,155.127,0.237
370,0.908,0.813,200785,-2.749,0.0777,0.0,0.278,0.924,97.018,0.305
371,0.659,0.701,180520,-4.107,0.164,0.0,0.0866,0.623,91.97,0.0882
372,0.578,0.801,235221,-4.665,0.071,0.0,0.651,0.706,114.12,0.171
373,0.625,0.433,226187,-12.963,0.0366,0.00103,0.248,0.274,93.041,0.376
374,0.65,0.558,159533,-3.082,0.0309,0.0,0.303,0.725,141.82,0.368
375,0.86,0.791,175918,-4.784,0.0568,0.000106,0.106,0.887,92.023,0.169
376,0.575,0.374,196099,-2.706,0.0346,0.0,0.178,0.563,79.124,0.535
377,0.714,0.761,230693,-4.596,0.0427,0.00035,0.241,0.906,168.022,0.139
378,0.605,0.8,236731,-3.018,0.312,0.000128,0.0763,0.732,92.284,0.518
379,0.798,0.62,164000,-7.079,0.232,0.0192,0.112,0.235,120.031,0.414
380,0.691,0.739,248345,-3.09,0.229,3.95e-06,0.11,0.884,83.897,0.422
381,0.762,0.766,287120,-3.955,0.0343,6.98e-05,0.128,0.442,130.001,0.00776
382,0.563,0.664,178147,-5.044,0.154,0.0,0.0849,0.688,166.928,0.335
383,0.786,0.899,216510,-0.515,0.127,0.000189,0.299,0.813,90.025,0.192
384,0.669,0.476,246132,-6.635,0.0395,9.85e-06,0.21,0.905,143.826,0.382
385,0.869,0.805,212776,-5.722,0.0393,0.0,0.0686,0.889,125.235,0.0774
386,0.808,0.497,184722,-4.008,0.0453,0.0,0.0642,0.962,87.987,0.18
387,0.788,0.789,179005,-2.39,0.124,0.0,0.226,0.867,167.897,0.397
388,0.905,0.686,155825,-3.152,0.0664,0.0,0.266,0.963,103.013,0.0907
389,0.806,0.786,309120,-3.831,0.0741,0.0,0.0935,0.58,91.973,0.145
390,0.714,0.8,211560,-4.808,0.0504,0.0,0.359,0.589,134.002,0.127
391,0.723,0.48,155803,-4.1,0.0326,0.0,0.0705,0.909,144.533,0.557
392,0.793,0.793,183290,-4.521,0.083,0.0,0.0951,0.679,123.95,0.0123
393,0.744,0.804,205715,-6.327,0.0677,0.0,0.0494,0.426,104.823,0.0231
394,0.714,0.671,229827,-5.119,0.362,0.0,0.325,0.641,169.732,0.289
395,0.823,0.821,213314,-3.402,0.166,4.28e-06,0.143,0.791,99.999,0.31
396,0.818,0.673,193636,-7.542,0.148,0.0,0.172,0.695,87.961,0.348
397,0.641,0.593,281000,-7.884,0.0264,0.0,0.169,0.437,119.828,0.46
398,0.574,0.891,183240,-3.665,0.157,0.0,0.16,0.707,100.978,0.0847
399,0.82,0.804,211998,-7.226,0.0528,0.00215,0.064,0.844,110.982,0.175
400,0.478,0.732,259403,-4.342,0.0779,3.34e-06,0.0768,0.664,184.819,0.363
401,0.504,0.503,167373,-3.313,0.0422,0.0,0.0608,0.709,195.593,0.388
402,0.571,0.693,232253,-8.234,0.0545,0.0,0.173,0.393,168.169,0.00536
403,0.793,0.771,247308,-3.417,0.0959,1.51e-06,0.284,0.835,171.943,0.0337
404,0.728,0.542,227234,-5.195,0.0514,0.0,0.136,0.637,90.016,0.259
405,0.685,0.831,213944,-4.38,0.0858,0.0,0.177,0.486,97.431,0.398
406,0.839,0.667,171360,-3.961,0.031,0.0,0.244,0.878,124.889,0.322
407,0.83,0.159,207400,-14.461,0.0383,2.02e-05,0.362,0.189,104.95,0.946
408,0.725,0.756,186133,-5.013,0.0572,0.000685,0.103,0.828,100.07,0.362
409,0.78,0.877,191973,-3.683,0.0427,2.36e-06,0.0627,0.909,133.263,0.148
410,0.65,0.825,191014,-4.645,0.0325,2.44e-05,0.0936,0.593,118.091,0.0215
411,0.845,0.677,219048,-4.798,0.136,0.000917,0.108,0.68,90.013,0.269
412,0.585,0.611,218107,-4.132,0.288,0.0,0.649,0.962,97.041,0.39
413,0.754,0.646,242573,-5.795,0.317,1.85e-05,0.108,0.429,176.089,0.152
414,0.832,0.525,217600,-6.806,0.0412,1.77e-05,0.142,0.967,112.479,0.277
415,0.61,0.508,137876,-6.682,0.152,0.0,0.384,0.758,178.818,0.297
416,0.795,0.655,215891,-3.815,0.0422,1.76e-06,0.296,0.744,93.029,0.076
417,0.586,0.616,242096,-7.964,0.0324,0.0,0.0927,0.719,148.088,0.182
418,0.811,0.637,130014,-4.835,0.0591,0.000572,0.118,0.471,92.025,0.234
419,0.702,0.825,203064,-3.787,0.0601,0.0,0.0674,0.915,102.977,0.00883
420,0.547,0.638,142065,-2.99,0.124,0.0,0.074,0.876,176.277,0.697
421,0.643,0.35,240457,-5.924,0.0783,0.0,0.102,0.541,118.199,0.784
422,0.68,0.826,215627,-5.487,0.0309,1.24e-05,0.543,0.644,118.051,0.0212
423,0.677,0.696,198082,-6.181,0.119,0.0,0.42,0.464,90.03,0.321
424,0.514,0.73,200040,-5.934,0.0598,9.54e-05,0.0897,0.334,171.005,0.00146
425,0.673,0.326,189408,-7.481,0.0348,3.73e-06,0.103,0.672,133.309,0.696
426,0.638,0.437,143933,-3.857,0.0332,0.0,0.0894,0.618,147.88,0.282
427,0.743,0.655,261335,-5.015,0.159,0.0,0.0764,0.785,172.031,0.114
428,0.823,0.544,186088,-7.132,0.0715,0.00315,0.0966,0.664,149.903,0.0215
429,0.699,0.612,261603,-4.355,0.0667,0.0,0.161,0.591,100.005,0.757
430,0.626,0.503,179746,-5.087,0.141,0.0,0.234,0.821,72.985,0.407
431,0.864,0.658,178693,-4.105,0.154,0.000626,0.105,0.865,163.922,0.204
432,0.823,0.537,231595,-2.627,0.211,3.75e-06,0.124,0.608,175.965,0.176
433,0.78,0.718,199604,-3.605,0.0506,0.000163,0.0932,0.342,127.949,0.31
434,0.635,0.706,209160,-3.224,0.125,0.0,0.108,0.443,88.863,0.256
435,0.783,0.727,199112,-3.454,0.389,2.46e-05,0.0626,0.558,180.067,0.185
436,0.891,0.819,217773,-3.964,0.106,0.000354,0.173,0.768,101.968,0.0261
437,0.856,0.618,203201,-4.892,0.286,0.0,0.0866,0.391,81.993,0.0303
438,0.83,0.517,182496,-6.416,0.333,8.95e-05,0.0916,0.616,171.959,0.399
439,0.78,0.719,199604,-3.613,0.0506,0.000196,0.0931,0.336,127.962,0.302
440,0.713,0.617,232853,-4.637,0.0887,0.0,0.0962,0.682,168.021,0.122
441,0.715,0.622,195053,-5.102,0.046,0.0,0.0948,0.808,80.015,0.163
442,0.653,0.524,160191,-9.016,0.0502,0.0,0.203,0.553,83.97,0.112
443,0.644,0.648,206710,-4.601,0.118,0.0,0.135,0.44,179.951,0.276
444,0.731,0.573,205090,-10.059,0.0544,5.22e-05,0.113,0.145,109.928,0.401
445,0.849,0.701,261667,-4.407,0.06,0.0,0.112,0.505,98.005,0.407
446,0.727,0.546,197333,-4.572,0.0437,0.0,0.122,0.69,106.891,0.656
